UID         PID   PPID  C STIME TTY          TIME CMD
root       9279      2  0 Jun05 ?        00:00:01 [kworker/26:1H]
root       9612      2  0 Jun05 ?        00:00:07 [kworker/27:1H]
root      10643      2  0 Jun05 ?        00:00:00 [kworker/29:1H]
root      10793      2  0 Jun05 ?        00:00:00 [kworker/33:1H]
root      10796      2  0 Jun05 ?        00:00:03 [kworker/0:1H]
root      10802      2  0 Jun05 ?        00:00:06 [kworker/11:1H]
root      10803      2  0 Jun05 ?        00:00:06 [kworker/15:1H]
root      10911      2  0 Jun05 ?        00:00:06 [kworker/13:1H]
root      10960      2  0 Jun05 ?        00:00:06 [kworker/17:1H]
root      11863      2  0 Jun05 ?        00:00:06 [kworker/9:1H]
root      14328      2  0 Jun05 ?        00:00:00 [kworker/42:1H]
root      15881      2  0 Jun05 ?        00:00:00 [kworker/45:1H]
root      25014      2  0 Aug29 ?        00:00:01 [kworker/33:1]
root      25281      2  0 Aug29 ?        00:00:03 [kworker/47:1]
root      25283      2  0 Aug29 ?        00:00:07 [kworker/24:0]
root      25338      2  0 Aug29 ?        00:00:04 [kworker/26:1]
root      26746      2  0 Aug29 ?        00:00:05 [kworker/10:1]
aomidsal  27276      1  0 Aug29 ?        00:00:00 SCREEN
aomidsal  27277  27276  0 Aug29 pts/5    00:00:00 /bin/bash
root      28284      2  0 Aug29 ?        00:00:48 [kworker/30:1]
root      28487      2  0 Aug29 ?        00:00:08 [kworker/10:0]
root      28616      2  0 Aug29 ?        00:00:00 [kworker/40:0]
root      29484      2  0 Aug29 ?        00:00:00 [kworker/38:2]
root      34012      2  0 Jun05 ?        00:00:00 [kworker/31:1H]
root      37758      2  0 Jun06 ?        00:00:00 [kworker/38:1H]
root      40355      2  0 Jun06 ?        00:00:00 [kworker/32:1H]
root      51788      2  0 Jun06 ?        00:00:00 [kworker/24:1H]
root      52745      2  0 03:00 ?        00:00:28 [kworker/12:2]
root      52904      2  0 Jun06 ?        00:00:00 [kworker/43:1H]
root      53217      2  0 Jun06 ?        00:00:00 [kworker/35:1H]
